sep=;
From#;From Name;To# - Circ#;To Name;Area;Owner;Type;Resistance (pu);Reactance (pu);Normal Rat.(MVA);Overl. Rat.(MVA);Emerg. Rat.(MVA);Tap (pu);Phase Shift (deg);CBus;CBus Name;Tap or Phs Min;Tap or Phs Max;V or Flow Max;V or Flow Min;ShtF On;GSht From (MW);BSht From (Mvar);ShtT On;GSht To (MW);BSht To (Mvar);Brk From;Brk To;Monitored;Connection;R0;X0;Name
61;FOZ60--PR500;43899   #03;F.IG-3-PR000;101;0;Trafo;0.00000;-0.00117;9999.0;9999.0;9999.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;-0.00117;FOZ60--PR500 - F.IG-3-P 
61;FOZ60--PR500;43915   #04;F.IG-4-PR000;101;0;Trafo;0.00000;-0.00123;9999.0;9999.0;9999.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;-0.00123;FOZ60--PR500 - F.IG-4-P 
61;FOZ60--PR500;43921   #05;F.IG-5-PR000;101;0;Trafo;0.00000;-0.00114;9999.0;9999.0;9999.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;-0.00114;FOZ60--PR500 - F.IG-5-P 
65;IVAIPO-PR765;58   #02;IVAIP2-PR000;201;0;Trafo;0.00000;0.00823;1650.0;1650.0;115.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.00823;IVAIPO-PR765 - IVAIP2-P 
65;IVAIPO-PR765;59   #03;IVAIP3-PR000;201;0;Trafo;0.00000;0.00773;1650.0;1833.0;2598.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.00773;IVAIPO-PR765 - IVAIP3-P 
65;IVAIPO-PR765;68   #01;IVAIP1-PR000;201;0;Trafo;0.00000;0.00843;1650.0;1815.0;1650.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.00843;IVAIPO-PR765 - IVAIP1-P 
66;IVAIPA-PR525;68   #01;IVAIP1-PR000;101;0;OLTC(ON);0.00000;-0.00170;1650.0;1815.0;1815.0;1.05300;0.00;999;IVAIPE-PR525;0.838 pu;1.053 pu;1.044 pu;1.044 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;-0.00170;IVAIPA-PR525 - IVAIP1-P 
67;IVAIP1-PR069;68   #01;IVAIP1-PR000;201;0;Trafo;0.00000;0.03649;550.0;550.0;1650.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;DYn;0.00000;0.03649;IVAIP1-PR069 - IVAIP1-P 
76;TPRETO-SP765;80   #03;TPRET3-SP000;201;0;Trafo;0.00000;0.00697;1650.0;1815.0;83.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.00697;TPRETO-SP765 - TPRET3-S 
76;TPRETO-SP765;81   #04;TPRET4-SP000;201;0;Trafo;0.00000;0.01028;1500.0;1650.0;1500.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.01028;TPRETO-SP765 - TPRET4-S 
76;TPRETO-SP765;41512   #05;TPRAT5-SP000;201;0;Trafo;0.00000;0.00993;1500.0;1650.0;1500.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.00993;TPRETO-SP765 - TPRAT5-S 
76;TPRETO-SP765;41514   #06;TPRAT6-SP000;201;0;Trafo;0.00000;0.00983;1500.0;1650.0;1500.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.00983;TPRETO-SP765 - TPRAT6-S 
76;TPRETO-SP765;41516   #07;TPRAT7-SP000;201;0;Trafo;0.00000;0.00931;1500.0;1800.0;1500.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.00931;TPRETO-SP765 - TPRAT7-S 
76;TPRETO-SP765;41518   #01;TPRAT1-SP000;201;0;Trafo;0.00000;0.00839;1650.0;1650.0;1650.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.00839;TPRETO-SP765 - TPRAT1-S 
76;TPRETO-SP765;41520   #02;TPRAT2-SP000;201;0;Trafo;0.00000;0.00817;1650.0;1815.0;1650.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.00817;TPRETO-SP765 - TPRAT2-S 
77;TPRETO-SP500;80   #03;TPRET3-SP000;202;0;OLTC(ON);0.00000;-0.00030;1650.0;1815.0;57.0;1.10300;0.00;77;TPRETO-SP500;0.880 pu;1.160 pu;1.098 pu;1.098 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;-0.00030;TPRETO-SP500 - TPRET3-S 
77;TPRETO-SP500;41518   #01;TPRAT1-SP000;202;0;OLTC(ON);0.00000;-0.00165;1650.0;1650.0;1650.0;1.10300;0.00;77;TPRETO-SP500;0.880 pu;1.160 pu;1.098 pu;1.098 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;-0.00165;TPRETO-SP500 - TPRAT1-S 
