 sep=;
Ctg ID; From Bus; From Name; To Bus - ID; To Name; Flow Change (MVA); Flow Change (%); Flow BCase (MVA); Flow Ctg (MVA); Rating (MVA); 
COLINA-TO500(7300) CO-MI3CAP500(7305) #3; 5570; S.J.PI-PI500; 7190    #05; GILBU2-PI500; 6.6; 1.9; 342.8; 349.4; 3600.0; 
COLINA-TO500(7300) CO-MI3CAP500(7305) #3; 5570; S.J.PI-PI500; 43952    #05; SJ-SB1-PI500; 5.8; 1.3; 448.6; 454.4; 2046.0; 
COLINA-TO500(7300) CO-MI3CAP500(7305) #3; 43952; SJ-SB1-PI500; 5572    #05; SJ-SB1CAP500; 5.8; 1.3; 448.6; 454.4; 2046.0; 
COLINA-TO500(7300) CO-MI3CAP500(7305) #3; 5572; SJ-SB1CAP500; 6300    #05; SOBRAD-BA500; 5.2; 1.2; 430.1; 435.3; 2165.0; 
COLINA-TO500(7300) CO-MI3CAP500(7305) #3; 6640; CURRAL-PI500; 5325    #01; QUEIMA-PI500; 4.9; 1.6; 310.0; 314.9; 3464.0; 
COLINA-TO500(7300) CO-MI3CAP500(7305) #3; 5570; S.J.PI-PI500; 5577    #02; SJ-SB2CAP500; 4.0; 0.8; 480.2; 484.1; 1992.0; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 7190; GILBU2-PI500; 7197    #02; GB-BR-CAP500; -1.1; -0.1; 1136.8; 1135.8; 2922.0; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 7197; GB-BR-CAP500; 6446    #02; BR-GB-CAP500; -1.0; -0.1; 1114.4; 1113.4; 3464.0; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 5436; RGONCA-PI500; 5576    #04; RG-SJ2CAP500; -0.7; -0.3; 258.7; 258.1; 2104.0; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 5436; RGONCA-PI500; 5435    #03; RG-SJ1CAP500; -0.6; -0.3; 252.6; 252.0; 1992.0; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 5576; RG-SJ2CAP500; 5570    #04; S.J.PI-PI500; -0.6; -0.2; 252.7; 252.1; 2511.0; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 5435; RG-SJ1CAP500; 5570    #03; S.J.PI-PI500; -0.6; -0.2; 247.3; 246.6; 1992.0; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 43952; SJ-SB1-PI500; 5572    #05; SJ-SB1CAP500; -0.5; -0.1; 448.6; 448.1; 2046.0; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 5570; S.J.PI-PI500; 43952    #05; SJ-SB1-PI500; -0.5; -0.1; 448.6; 448.1; 2046.0; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 5572; SJ-SB1CAP500; 6300    #05; SOBRAD-BA500; -0.4; -0.1; 430.1; 429.7; 2165.0; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 5436; RGONCA-PI500; 5437    #01; RG-CO1CAP500; 0.4; 0.2; 241.4; 241.8; 1992.0; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 7190; GILBU2-PI500; 7197    #02; GB-BR-CAP500; 32.3; 2.8; 1136.8; 1169.1; 2922.0; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 7197; GB-BR-CAP500; 6446    #02; BR-GB-CAP500; 31.8; 2.9; 1114.4; 1146.2; 3464.0; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 5570; S.J.PI-PI500; 7190    #05; GILBU2-PI500; 9.9; 2.9; 342.8; 352.7; 3600.0; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 6640; CURRAL-PI500; 5325    #01; QUEIMA-PI500; 5.6; 1.8; 310.0; 315.6; 3464.0; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 5577; SJ-SB2CAP500; 6300    #02; SOBRAD-BA500; -3.4; -0.7; 496.1; 492.7; 1992.0; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 5570; S.J.PI-PI500; 5577    #02; SJ-SB2CAP500; -3.3; -0.7; 480.2; 476.9; 1992.0; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 5380; MLG2---CE500; 7922    #01; S.SURU-PE500; -2.9; -0.4; 655.4; 652.5; 2186.0; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 5436; RGONCA-PI500; 5435    #03; RG-SJ1CAP500; 2.8; 1.1; 252.6; 255.4; 1992.0; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 5436; RGONCA-PI500; 5576    #04; RG-SJ2CAP500; 2.7; 1.1; 258.7; 261.5; 2104.0; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 5435; RG-SJ1CAP500; 5570    #03; S.J.PI-PI500; 2.7; 1.1; 247.3; 249.9; 1992.0; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 7190; GILBU2-PI500; 7197    #02; GB-BR-CAP500; -52.6; -4.6; 1136.8; 1084.2; 2922.0; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 7197; GB-BR-CAP500; 6446    #02; BR-GB-CAP500; -46.7; -4.2; 1114.4; 1067.7; 3464.0; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 6640; CURRAL-PI500; 5325    #01; QUEIMA-PI500; -22.1; -7.1; 310.0; 287.9; 3464.0; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 5570; S.J.PI-PI500; 6640    #01; CURRAL-PI500; 9.9; 2.8; 351.6; 361.5; 1992.0; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 5380; MLG2---CE500; 5325    #03; QUEIMA-PI500; 8.4; 4.4; 190.0; 198.4; 3464.0; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 5570; S.J.PI-PI500; 7190    #05; GILBU2-PI500; 7.3; 2.1; 342.8; 350.1; 3600.0; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 5570; S.J.PI-PI500; 5577    #02; SJ-SB2CAP500; -3.7; -0.8; 480.2; 476.4; 1992.0; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 5325; QUEIMA-PI500; 8338    #01; OITIS--PI500; -3.7; -2.1; 178.0; 174.3; 9999.0; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 43952; SJ-SB1-PI500; 5572    #05; SJ-SB1CAP500; -3.4; -0.8; 448.6; 445.2; 2046.0; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 5570; S.J.PI-PI500; 43952    #05; SJ-SB1-PI500; -3.4; -0.8; 448.6; 445.2; 2046.0; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 6640; CURRAL-PI500; 5325    #01; QUEIMA-PI500; 45.4; 14.6; 310.0; 355.4; 3464.0; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 7197; GB-BR-CAP500; 6446    #02; BR-GB-CAP500; -28.3; -2.5; 1114.4; 1086.1; 3464.0; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 7190; GILBU2-PI500; 7197    #02; GB-BR-CAP500; -27.8; -2.4; 1136.8; 1109.0; 2922.0; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 5380; MLG2---CE500; 7922    #01; S.SURU-PE500; -15.6; -2.4; 655.4; 639.8; 2186.0; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 5436; RGONCA-PI500; 5435    #03; RG-SJ1CAP500; 15.6; 6.2; 252.6; 268.2; 1992.0; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 5436; RGONCA-PI500; 5576    #04; RG-SJ2CAP500; 15.2; 5.9; 258.7; 274.0; 2104.0; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 5435; RG-SJ1CAP500; 5570    #03; S.J.PI-PI500; 15.1; 6.1; 247.3; 262.4; 1992.0; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 5576; RG-SJ2CAP500; 5570    #04; S.J.PI-PI500; 14.8; 5.8; 252.7; 267.5; 2511.0; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 5570; S.J.PI-PI500; 7190    #05; GILBU2-PI500; 14.5; 4.2; 342.8; 357.3; 3600.0; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 5436; RGONCA-PI500; 5575    #02; RG-CO2CAP500; 10.8; 4.5; 241.3; 252.1; 2104.0; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 7190; GILBU2-PI500; 7197    #02; GB-BR-CAP500; 48.2; 4.2; 1136.8; 1185.0; 2922.0; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 7197; GB-BR-CAP500; 6446    #02; BR-GB-CAP500; 44.0; 3.9; 1114.4; 1158.4; 3464.0; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 6640; CURRAL-PI500; 5325    #01; QUEIMA-PI500; 9.2; 3.0; 310.0; 319.1; 3464.0; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 5570; S.J.PI-PI500; 7190    #05; GILBU2-PI500; 7.6; 2.2; 342.8; 350.4; 3600.0; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 43952; SJ-SB1-PI500; 5572    #05; SJ-SB1CAP500; -4.2; -0.9; 448.6; 444.4; 2046.0; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 5570; S.J.PI-PI500; 43952    #05; SJ-SB1-PI500; -4.2; -0.9; 448.6; 444.4; 2046.0; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 5572; SJ-SB1CAP500; 6300    #05; SOBRAD-BA500; -3.8; -0.9; 430.1; 426.2; 2165.0; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 5380; MLG2---CE500; 7922    #01; S.SURU-PE500; -3.7; -0.6; 655.4; 651.6; 2186.0; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 5570; S.J.PI-PI500; 5577    #02; SJ-SB2CAP500; -3.6; -0.7; 480.2; 476.6; 1992.0; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 5436; RGONCA-PI500; 5435    #03; RG-SJ1CAP500; 3.1; 1.2; 252.6; 255.8; 1992.0; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 5571; S.J.PI-PI230; 5681    #02; E.MART-PI230; -19.3; -37.2; 51.8; 32.5; 199.0; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 7190; GILBU2-PI500; 7191    #01; GILBUE-PI230; 10.8; 47.4; 22.7; 33.4; 300.0; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 7191; GILBUE-PI230; 7181    #01; B.JESU-PI230; 10.1; 55.4; 18.2; 28.3; 388.0; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 5571; S.J.PI-PI230; 42344    #01; SJPIT1-PI000; 9.6; 16.3; 58.6; 68.2; 300.0; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 5571; S.J.PI-PI230; 44084    #02; SJPIT2-PI000; 9.6; 16.3; 58.6; 68.2; 360.0; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 5570; S.J.PI-PI500; 42344    #01; SJPIT1-PI000; 9.6; 16.3; 58.5; 68.1; 300.0; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 5570; S.J.PI-PI500; 44084    #02; SJPIT2-PI000; 9.6; 16.3; 58.5; 68.1; 360.0; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 7197; GB-BR-CAP500; 6446    #02; BR-GB-CAP500; -7.5; -0.7; 1114.4; 1106.9; 3464.0; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 7190; GILBU2-PI500; 7197    #02; GB-BR-CAP500; -6.9; -0.6; 1136.8; 1129.9; 2922.0; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 5570; S.J.PI-PI500; 7190    #05; GILBU2-PI500; 6.5; 1.9; 342.8; 349.3; 3600.0; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 8199; LDVENT-PI034; 5905    #01; VSANGEEOL039; 130.8; 295.6; 44.3; 175.1; 9999.0; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 8199; LDVENT-PI034; 8735    #01; LDVET1-PI000; 129.9; 285.9; 45.4; 175.3; 153.0; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 8198; LDVENT-PI500; 8735    #01; LDVET1-PI000; 50.3; 55.9; 90.1; 140.4; 306.0; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 5570; S.J.PI-PI500; 5577    #02; SJ-SB2CAP500; -31.3; -6.5; 480.2; 448.9; 1992.0; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 7190; GILBU2-PI500; 7197    #02; GB-BR-CAP500; -29.0; -2.6; 1136.8; 1107.8; 2922.0; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 7197; GB-BR-CAP500; 6446    #02; BR-GB-CAP500; -28.5; -2.6; 1114.4; 1085.9; 3464.0; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 43952; SJ-SB1-PI500; 5572    #05; SJ-SB1CAP500; -27.4; -6.1; 448.6; 421.2; 2046.0; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 5570; S.J.PI-PI500; 43952    #05; SJ-SB1-PI500; -27.4; -6.1; 448.6; 421.2; 2046.0; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 5577; SJ-SB2CAP500; 6300    #02; SOBRAD-BA500; -26.7; -5.4; 496.1; 469.5; 1992.0; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 5572; SJ-SB1CAP500; 6300    #05; SOBRAD-BA500; -25.8; -6.0; 430.1; 404.3; 2165.0; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 6640; CURRAL-PI500; 5325    #01; QUEIMA-PI500; -0.9; -0.3; 310.0; 309.1; 3464.0; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 5380; MLG2---CE500; 5325    #03; QUEIMA-PI500; 0.6; 0.3; 190.0; 190.6; 3464.0; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 5570; S.J.PI-PI500; 6640    #01; CURRAL-PI500; 0.4; 0.1; 351.6; 352.0; 1992.0; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 5325; QUEIMA-PI500; 8338    #01; OITIS--PI500; -0.3; -0.2; 178.0; 177.7; 9999.0; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 5570; S.J.PI-PI500; 7190    #05; GILBU2-PI500; 0.2; 0.1; 342.8; 343.0; 3600.0; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 5570; S.J.PI-PI500; 43952    #05; SJ-SB1-PI500; 0.2; 0.0; 448.6; 448.8; 2046.0; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 43952; SJ-SB1-PI500; 5572    #05; SJ-SB1CAP500; 0.2; 0.0; 448.6; 448.8; 2046.0; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 6641; CURRAL-PI230; 6640    #03; CURRAL-PI500; -0.2; -0.1; 264.2; 264.0; 720.0; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 6640; CURRAL-PI500; 5380    #04; MLG2---CE500; 0.2; 0.1; 325.5; 325.6; 1992.0; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 5572; SJ-SB1CAP500; 6300    #05; SOBRAD-BA500; 0.2; 0.0; 430.1; 430.2; 2165.0; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 6640; CURRAL-PI500; 5325    #01; QUEIMA-PI500; 0.2; 0.1; 310.0; 310.2; 3464.0; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 7197; GB-BR-CAP500; 6446    #02; BR-GB-CAP500; -0.1; -0.0; 1114.4; 1114.3; 3464.0; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 7190; GILBU2-PI500; 7197    #02; GB-BR-CAP500; -0.1; -0.0; 1136.8; 1136.7; 2922.0; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 5380; MLG2---CE500; 7922    #01; S.SURU-PE500; -0.1; -0.0; 655.4; 655.3; 2186.0; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 5570; S.J.PI-PI500; 5577    #02; SJ-SB2CAP500; -0.1; -0.0; 480.2; 480.1; 1992.0; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 5577; SJ-SB2CAP500; 6300    #02; SOBRAD-BA500; -0.1; -0.0; 496.1; 496.0; 1992.0; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 43952; SJ-SB1-PI500; 5572    #05; SJ-SB1CAP500; -0.1; -0.0; 448.6; 448.5; 2046.0; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 5570; S.J.PI-PI500; 43952    #05; SJ-SB1-PI500; -0.1; -0.0; 448.6; 448.5; 2046.0; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 5572; SJ-SB1CAP500; 6300    #05; SOBRAD-BA500; -0.1; -0.0; 430.1; 430.0; 2165.0; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 5570; S.J.PI-PI500; 7190    #05; GILBU2-PI500; 0.1; 0.0; 342.8; 342.9; 3600.0; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 7190; GILBU2-PI500; 7197    #02; GB-BR-CAP500; 27.3; 2.4; 1136.8; 1164.1; 2922.0; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 7197; GB-BR-CAP500; 6446    #02; BR-GB-CAP500; 26.4; 2.4; 1114.4; 1140.8; 3464.0; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 5436; RGONCA-PI500; 5435    #03; RG-SJ1CAP500; 9.8; 3.9; 252.6; 262.5; 1992.0; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 5436; RGONCA-PI500; 5576    #04; RG-SJ2CAP500; 9.7; 3.7; 258.7; 268.4; 2104.0; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 5435; RG-SJ1CAP500; 5570    #03; S.J.PI-PI500; 9.5; 3.8; 247.3; 256.7; 1992.0; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 5576; RG-SJ2CAP500; 5570    #04; S.J.PI-PI500; 9.3; 3.7; 252.7; 262.0; 2511.0; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 5570; S.J.PI-PI500; 43952    #05; SJ-SB1-PI500; 7.2; 1.6; 448.6; 455.8; 2046.0; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 43952; SJ-SB1-PI500; 5572    #05; SJ-SB1CAP500; 7.2; 1.6; 448.6; 455.8; 2046.0; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 5572; SJ-SB1CAP500; 6300    #05; SOBRAD-BA500; 6.6; 1.5; 430.1; 436.6; 2165.0; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 5570; S.J.PI-PI500; 5577    #02; SJ-SB2CAP500; 6.4; 1.3; 480.2; 486.6; 1992.0; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 6743; NOLIND-PI500; 6744    #01; NOLNB1-PI034; -55.2; -99.2; 55.6; 0.4; 140.0; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 6743; NOLIND-PI500; 6745    #01; NOLNB2-PI034; -54.8; -99.2; 55.2; 0.4; 140.0; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 6745; NOLNB2-PI034; 6747    #01; NOLN12UFV112; -52.2; -94.5; 55.2; 3.0; 9999.0; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 6744; NOLNB1-PI034; 6746    #01; NOLN08UFV112; -52.0; -93.9; 55.3; 3.4; 9999.0; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 5570; S.J.PI-PI500; 5577    #02; SJ-SB2CAP500; -15.0; -3.1; 480.2; 465.2; 1992.0; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 5577; SJ-SB2CAP500; 6300    #02; SOBRAD-BA500; -13.8; -2.8; 496.1; 482.3; 1992.0; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 7190; GILBU2-PI500; 7197    #02; GB-BR-CAP500; -13.1; -1.2; 1136.8; 1123.7; 2922.0; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 7197; GB-BR-CAP500; 6446    #02; BR-GB-CAP500; -12.9; -1.2; 1114.4; 1101.5; 3464.0; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 5570; S.J.PI-PI500; 7190    #05; GILBU2-PI500; -11.9; -3.5; 342.8; 330.9; 3600.0; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 5436; RGONCA-PI500; 5435    #03; RG-SJ1CAP500; 11.0; 4.3; 252.6; 263.6; 1992.0; 
