 sep=;
From#; From Name; To# - Circ#; To Name; Area; Type; MVA; % L1; L1(MVA); MW:From-To; Mvar:From-To; Power Factor:From-To; MW:To-From; Mvar:To-From; Power Factor:To-From; MW:Losses; Mvar:Losses; 
5327; CHAPA1-PI138; 8354    # 01; CHA1PE-PI138; 773; SWITCH; 55.7; 0.56; 9999.0; 50.2; 24.1; 0.901 Cap; -50.2; -24.1; -; 0.0; 0.0; 
5327; CHAPA1-PI138; 8355    # 01; CHA1PI-PI138; 773; SWITCH; 6.2; 0.06; 9999.0; 5.9; 1.9; 0.952 Cap; -5.9; -1.9; -; 0.0; 0.0; 
5370; PECEM2-CE500; 5451    # 02; FTZ2---CE500; 761; TL; 390.0; 15.24; 2560.0; 180.9; 232.3; 0.614 Cap; -180.3; -345.9; -; 0.6; -113.6; 
5370; PECEM2-CE500; 42326    # 01; PCD-T1-CE000; 761; TRAFO; 130.0; 10.83; 1200.0; -127.1; 27.3; -; 127.2; -22.9; 0.984 Ind; 0.1; 4.5; 
5370; PECEM2-CE500; 42328    # 02; PCD-T2-CE000; 761; TRAFO; 130.2; 10.85; 1200.0; -127.3; 27.4; -; 127.4; -23.0; 0.984 Ind; 0.1; 4.3; 
5370; PECEM2-CE500; 42330    # 03; PCD-T3-CE000; 761; TRAFO; 130.4; 10.87; 1200.0; -127.5; 27.4; -; 127.5; -23.0; 0.984 Ind; -0.0; 4.4; 
5380; MLG2---CE500; 5325    # 03; QUEIMA-PI500; 761; TL; 190.0; 7.62; 2494.0; 23.8; 36.7; 0.545 Cap; -23.6; -188.6; -; 0.2; -151.9; 
5380; MLG2---CE500; 5350    # 02; ACU3---RN500; 761; TL; 403.1; 12.93; 3118.0; -383.7; 15.2; -; 386.8; -113.5; 0.960 Ind; 3.1; -98.3; 
5380; MLG2---CE500; 7922    # 01; S.SURU-PE500; 761; TL; 655.4; 29.98; 2186.0; 637.3; -138.7; 0.977 Ind; -630.2; 180.1; -; 7.1; 41.4; 
5408; MILAGR-CE500; 5380    # 01; MLG2---CE500; 761; TL; 200.9; 9.19; 2186.0; 200.8; -6.5; 0.999 Ind; -200.8; 3.4; -; 0.0; -3.1; 
5408; MILAGR-CE500; 5380    # 04; MLG2---CE500; 761; TL; 214.9; 10.79; 1992.0; 214.9; 0.9; 1.000 Cap; -214.9; -4.3; -; 0.0; -3.4; 
5408; MILAGR-CE500; 42308    # 01; MLG5T1-CE000; 761; TRAFO; 104.3; 17.38; 600.0; -97.8; -36.2; -; 97.8; 36.1; 0.938 Cap; 0.0; -0.2; 
5408; MILAGR-CE500; 42310    # 06; MLG5T6-CE000; 761; TRAFO; 103.2; 17.20; 600.0; -96.8; -35.8; -; 96.8; 35.7; 0.938 Cap; 0.0; -0.1; 
5408; MILAGR-CE500; 42312    # 07; MLG5T7-CE000; 761; TRAFO; 102.4; 17.06; 600.0; -95.4; -35.3; -; 95.4; 37.1; 0.932 Cap; 0.0; 1.8; 
5428; QUIXAD-CE500; 5350    # 02; ACU3---RN500; 761; TL; 343.2; 13.62; 2520.0; -338.8; -6.1; -; 340.5; -42.5; 0.992 Ind; 1.7; -48.6; 
5428; QUIXAD-CE500; 5408    # 03; MILAGR-CE500; 761; TL; 164.3; 7.94; 2070.0; 126.2; -105.3; 0.768 Ind; -125.7; 5.0; -; 0.5; -100.3; 
5430; RGONCA-PI230; 5391    # 01; BALSAS-MA230; 772; TL; 27.5; 13.55; 203.0; 25.4; -10.5; 0.925 Ind; -25.3; -6.4; -; 0.1; -16.9; 
5430; RGONCA-PI230; 5391    # 02; BALSAS-MA230; 772; TL; 27.4; 9.82; 279.0; 25.5; -10.1; 0.929 Ind; -25.4; -6.5; -; 0.1; -16.6; 
5430; RGONCA-PI230; 6098    # 01; RGO-T1-PI000; 772; OLTC; 1.3; 2.64; 50.0; 1.3; 0.1; 0.996 Cap; -1.3; -0.1; -; 0.0; -0.0; 
5430; RGONCA-PI230; 8770    # 01; UFVRGC-PI230; 772; SWITCH; 108.3; 1.08; 9999.0; -106.6; 19.0; -; 106.6; -19.0; 0.985 Ind; 0.0; 0.0; 
5430; RGONCA-PI230; 44755    # 02; RGO-T2-PI000; 772; OLTC; 1.3; 2.58; 50.0; 1.3; 0.1; 0.997 Cap; -1.3; -0.1; -; 0.0; -0.0; 
5435; RG-SJ1CAP500; 5570    # 03; S.J.PI-PI500; 771; TL; 247.3; 12.41; 1992.0; 210.6; -129.5; 0.852 Ind; -209.5; -37.8; -; 1.1; -167.2; 
5436; RGONCA-PI500; 5096    # 02; RGOAT2-PI000; 771; OLTC; 26.5; 8.85; 300.0; -26.5; -0.7; -; 26.5; 1.0; 0.999 Cap; 0.0; 0.3; 
5436; RGONCA-PI500; 5465    # 01; RGOATR-PI000; 771; OLTC; 26.6; 8.86; 300.0; -26.6; -0.2; -; 26.6; 0.5; 1.000 Cap; 0.0; 0.3; 
5451; FTZ2---CE500; 5428    # 05; QUIXAD-CE500; 761; TL; 226.5; 10.94; 2070.0; -212.0; 28.3; -; 212.7; -78.1; 0.939 Ind; 0.6; -49.8; 
5451; FTZ2---CE500; 5841    # 01; PACABA-CE500; 761; TL; 413.2; 16.14; 2560.0; -348.0; -222.9; -; 348.1; 205.9; 0.861 Cap; 0.2; -17.0; 
5451; FTZ2---CE500; 42332    # 01; FTD5T1-CE000; 761; TRAFO; 196.1; 32.69; 600.0; 186.9; 57.8; 0.955 Cap; -186.9; -59.5; -; 0.0; -1.7; 
5451; FTZ2---CE500; 42334    # 02; FTD5T2-CE000; 761; TRAFO; 195.4; 32.57; 600.0; 186.2; 57.4; 0.956 Cap; -186.2; -59.4; -; 0.0; -1.9; 
5451; FTZ2---CE500; 42336    # 03; FTD5T3-CE000; 761; TRAFO; 192.1; 32.02; 600.0; 183.5; 56.8; 0.955 Cap; -183.5; -56.0; -; 0.0; 0.7; 
5451; FTZ2---CE500; 42338    # 04; FTD5T4-CE000; 761; TRAFO; 192.3; 32.04; 600.0; 183.7; 56.7; 0.956 Cap; -183.7; -56.6; -; 0.0; 0.1; 
