 sep=;
Ctg ID; Bus; Bus Name; Area; Zone; VBase (kV); V BC (pu); V Ctg (pu); VSupE (pu); Diff BC V (pu); Viol (pu); 
COLINA-TO500(7300) CO-MI3CAP500(7305) #3; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
COLINA-TO500(7300) CO-MI3CAP500(7305) #3; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; 0.000; 0.083; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; 0.000; 0.079; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.041; 1.050; 0.000; -0.009; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; -0.000; -0.009; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.042; 1.050; 0.001; -0.008; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 8951; SGON-6-PI034; 771; 1; 34.5; 1.039; 1.040; 1.050; 0.001; -0.010; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.001; -0.010; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.039; 1.050; -0.001; -0.011; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.039; 1.050; -0.001; -0.011; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.039; 1.050; -0.001; -0.011; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; -0.000; -0.009; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.001; -0.010; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.001; -0.010; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.001; -0.010; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.001; -0.010; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.039; 1.050; -0.001; -0.011; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; 0.000; 0.083; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; 0.000; 0.079; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.042; 1.050; 0.001; -0.008; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.041; 1.050; 0.000; -0.009; 
