 sep=;
Ctg ID; Bus; Bus Name; Area; Zone; VBase (kV); V BC (pu); V Ctg (pu); VSupE (pu); Diff BC V (pu); Viol (pu); 
GID-T1-PI013(44036) GID-T1-PI000(44035) #1; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
GID-T1-PI013(44036) GID-T1-PI000(44035) #1; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
GID-T1-PI013(44036) GID-T1-PI000(44035) #1; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
LAJEAD-TO500(7204) LAJ-T2-TO000(44033) #2; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; 0.000; 0.083; 
LAJEAD-TO500(7204) LAJ-T2-TO000(44033) #2; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; 0.000; 0.079; 
LAJEAD-TO500(7204) LAJ-T2-TO000(44033) #2; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
LAJEAD-TO500(7204) LAJ-T2-TO000(44033) #2; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
LAJEAD-TO500(7204) LAJ-T2-TO000(44033) #2; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.041; 1.050; 0.000; -0.009; 
LAJEAD-TO500(7204) LAJ-T2-TO000(44033) #2; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
LAJEAD-TO500(7204) LAJ-T2-TO000(44033) #2; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
LAJEAD-TO500(7204) LAJ-T2-TO000(44033) #2; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
LAJEAD-TO500(7204) LAJ-T2-TO000(44033) #2; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
LAJEAD-TO500(7204) LAJ-T2-TO000(44033) #2; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
SPELAD-PA500(6754) SPLAT1-PA000(7261) #1; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
SPELAD-PA500(6754) SPLAT1-PA000(7261) #1; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
SPELAD-PA500(6754) SPLAT1-PA000(7261) #1; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
SPELAD-PA500(6754) SPLAT1-PA000(7261) #1; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; -0.000; -0.009; 
SPELAD-PA500(6754) SPLAT1-PA000(7261) #1; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
SPELAD-PA500(6754) SPLAT1-PA000(7261) #1; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
SPELAD-PA500(6754) SPLAT1-PA000(7261) #1; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
SPELAD-PA500(6754) SPLAT1-PA000(7261) #1; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
SPELAD-PA500(6754) SPLAT1-PA000(7261) #1; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
SPELAD-PA500(6754) SPLAT1-PA000(7261) #1; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
MR-GR3CAP500(7209) GR-MI3CAP500(7105) #3; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
MR-GR3CAP500(7209) GR-MI3CAP500(7105) #3; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
MR-GR3CAP500(7209) GR-MI3CAP500(7105) #3; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
MR-GR3CAP500(7209) GR-MI3CAP500(7105) #3; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.040; 1.050; -0.001; -0.010; 
MR-GR3CAP500(7209) GR-MI3CAP500(7105) #3; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
MR-GR3CAP500(7209) GR-MI3CAP500(7105) #3; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
MR-GR3CAP500(7209) GR-MI3CAP500(7105) #3; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
MR-GR3CAP500(7209) GR-MI3CAP500(7105) #3; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
MR-GR3CAP500(7209) GR-MI3CAP500(7105) #3; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
MR-GR3CAP500(7209) GR-MI3CAP500(7105) #3; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
S.J.PI-PI500(5570) SJPIT1-PI000(42344) #1; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
S.J.PI-PI500(5570) SJPIT1-PI000(42344) #1; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
S.J.PI-PI500(5570) SJPIT1-PI000(42344) #1; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
S.J.PI-PI500(5570) SJPIT1-PI000(42344) #1; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; -0.000; -0.009; 
S.J.PI-PI500(5570) SJPIT1-PI000(42344) #1; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
S.J.PI-PI500(5570) SJPIT1-PI000(42344) #1; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
S.J.PI-PI500(5570) SJPIT1-PI000(42344) #1; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
S.J.PI-PI500(5570) SJPIT1-PI000(42344) #1; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
S.J.PI-PI500(5570) SJPIT1-PI000(42344) #1; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
S.J.PI-PI500(5570) SJPIT1-PI000(42344) #1; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GILBUE-PI230(7191) GID-T1-PI000(44035) #1; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
GILBUE-PI230(7191) GID-T1-PI000(44035) #1; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
GILBUE-PI230(7191) GID-T1-PI000(44035) #1; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
GILBUE-PI230(7191) GID-T1-PI000(44035) #1; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; -0.000; -0.009; 
GILBUE-PI230(7191) GID-T1-PI000(44035) #1; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GILBUE-PI230(7191) GID-T1-PI000(44035) #1; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GILBUE-PI230(7191) GID-T1-PI000(44035) #1; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GILBUE-PI230(7191) GID-T1-PI000(44035) #1; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GILBUE-PI230(7191) GID-T1-PI000(44035) #1; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
GILBUE-PI230(7191) GID-T1-PI000(44035) #1; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GILBUE-PI069(7193) GID-T1-PI000(44035) #1; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
GILBUE-PI069(7193) GID-T1-PI000(44035) #1; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
GILBUE-PI069(7193) GID-T1-PI000(44035) #1; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
GILBUE-PI069(7193) GID-T1-PI000(44035) #1; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; -0.000; -0.009; 
GILBUE-PI069(7193) GID-T1-PI000(44035) #1; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GILBUE-PI069(7193) GID-T1-PI000(44035) #1; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GILBUE-PI069(7193) GID-T1-PI000(44035) #1; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GILBUE-PI069(7193) GID-T1-PI000(44035) #1; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GILBUE-PI069(7193) GID-T1-PI000(44035) #1; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
GILBUE-PI069(7193) GID-T1-PI000(44035) #1; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GENDO2-BA500(6060) SOLSER-BA500(8714) #3; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
GENDO2-BA500(6060) SOLSER-BA500(8714) #3; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
GENDO2-BA500(6060) SOLSER-BA500(8714) #3; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
GENDO2-BA500(6060) SOLSER-BA500(8714) #3; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.040; 1.050; -0.001; -0.010; 
GENDO2-BA500(6060) SOLSER-BA500(8714) #3; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GENDO2-BA500(6060) SOLSER-BA500(8714) #3; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GENDO2-BA500(6060) SOLSER-BA500(8714) #3; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
GENDO2-BA500(6060) SOLSER-BA500(8714) #3; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GENDO2-BA500(6060) SOLSER-BA500(8714) #3; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GENDO2-BA500(6060) SOLSER-BA500(8714) #3; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GENDO2-BA500(6060) GOR-T2-BA000(42394) #2; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; 0.000; 0.083; 
GENDO2-BA500(6060) GOR-T2-BA000(42394) #2; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; 0.000; 0.079; 
GENDO2-BA500(6060) GOR-T2-BA000(42394) #2; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
GENDO2-BA500(6060) GOR-T2-BA000(42394) #2; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; -0.000; -0.009; 
GENDO2-BA500(6060) GOR-T2-BA000(42394) #2; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GENDO2-BA500(6060) GOR-T2-BA000(42394) #2; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GENDO2-BA500(6060) GOR-T2-BA000(42394) #2; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GENDO2-BA500(6060) GOR-T2-BA000(42394) #2; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GENDO2-BA500(6060) GOR-T2-BA000(42394) #2; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
GENDO2-BA500(6060) GOR-T2-BA000(42394) #2; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
MIRACE-TO500(7200) MI-GR2CAP500(7203) #2; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
MIRACE-TO500(7200) MI-GR2CAP500(7203) #2; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
MIRACE-TO500(7200) MI-GR2CAP500(7203) #2; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
MIRACE-TO500(7200) MI-GR2CAP500(7203) #2; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; -0.000; -0.009; 
MIRACE-TO500(7200) MI-GR2CAP500(7203) #2; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
MIRACE-TO500(7200) MI-GR2CAP500(7203) #2; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
MIRACE-TO500(7200) MI-GR2CAP500(7203) #2; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
MIRACE-TO500(7200) MI-GR2CAP500(7203) #2; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
MIRACE-TO500(7200) MI-GR2CAP500(7203) #2; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
MIRACE-TO500(7200) MI-GR2CAP500(7203) #2; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
S.J.PI-PI500(5570) SJ-SB2CAP500(5577) #2; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; 0.000; 0.083; 
S.J.PI-PI500(5570) SJ-SB2CAP500(5577) #2; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; 0.000; 0.079; 
S.J.PI-PI500(5570) SJ-SB2CAP500(5577) #2; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
S.J.PI-PI500(5570) SJ-SB2CAP500(5577) #2; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
S.J.PI-PI500(5570) SJ-SB2CAP500(5577) #2; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.041; 1.050; 0.000; -0.009; 
S.J.PI-PI500(5570) SJ-SB2CAP500(5577) #2; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.041; 1.050; 0.000; -0.009; 
S.J.PI-PI500(5570) SJ-SB2CAP500(5577) #2; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
S.J.PI-PI500(5570) SJ-SB2CAP500(5577) #2; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
S.J.PI-PI500(5570) SJ-SB2CAP500(5577) #2; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
S.J.PI-PI500(5570) SJ-SB2CAP500(5577) #2; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
SPELAD-PA500(6754) SPLAT2-PA000(7263) #2; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
SPELAD-PA500(6754) SPLAT2-PA000(7263) #2; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
SPELAD-PA500(6754) SPLAT2-PA000(7263) #2; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
SPELAD-PA500(6754) SPLAT2-PA000(7263) #2; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; -0.000; -0.009; 
SPELAD-PA500(6754) SPLAT2-PA000(7263) #2; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
SPELAD-PA500(6754) SPLAT2-PA000(7263) #2; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
SPELAD-PA500(6754) SPLAT2-PA000(7263) #2; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
SPELAD-PA500(6754) SPLAT2-PA000(7263) #2; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
SPELAD-PA500(6754) SPLAT2-PA000(7263) #2; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
SPELAD-PA500(6754) SPLAT2-PA000(7263) #2; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GID-T2-PI013(44038) GID-T2-PI000(44037) #2; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
GID-T2-PI013(44038) GID-T2-PI000(44037) #2; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
GID-T2-PI013(44038) GID-T2-PI000(44037) #2; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
GID-T2-PI013(44038) GID-T2-PI000(44037) #2; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; -0.000; -0.009; 
GID-T2-PI013(44038) GID-T2-PI000(44037) #2; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
GID-T2-PI013(44038) GID-T2-PI000(44037) #2; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
GID-T2-PI013(44038) GID-T2-PI000(44037) #2; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
GID-T2-PI013(44038) GID-T2-PI000(44037) #2; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
GID-T2-PI013(44038) GID-T2-PI000(44037) #2; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
GID-T2-PI013(44038) GID-T2-PI000(44037) #2; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
GENDO2-BA500(6060) BURITI-BA500(6075) #7; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
GENDO2-BA500(6060) BURITI-BA500(6075) #7; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
GENDO2-BA500(6060) BURITI-BA500(6075) #7; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
GENDO2-BA500(6060) BURITI-BA500(6075) #7; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
GENDO2-BA500(6060) BURITI-BA500(6075) #7; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.040; 1.050; -0.001; -0.010; 
GENDO2-BA500(6060) BURITI-BA500(6075) #7; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.039; 1.050; -0.001; -0.011; 
GENDO2-BA500(6060) BURITI-BA500(6075) #7; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.039; 1.050; -0.001; -0.011; 
GENDO2-BA500(6060) BURITI-BA500(6075) #7; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.039; 1.050; -0.001; -0.011; 
GENDO2-BA500(6060) BURITI-BA500(6075) #7; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.039; 1.050; -0.001; -0.011; 
GENDO2-BA500(6060) BURITI-BA500(6075) #7; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.039; 1.050; -0.001; -0.011; 
MIRACE-TO500(7200) LAJEAD-TO500(7204) #2; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
MIRACE-TO500(7200) LAJEAD-TO500(7204) #2; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
MIRACE-TO500(7200) LAJEAD-TO500(7204) #2; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
MIRACE-TO500(7200) LAJEAD-TO500(7204) #2; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; -0.000; -0.009; 
MIRACE-TO500(7200) LAJEAD-TO500(7204) #2; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
MIRACE-TO500(7200) LAJEAD-TO500(7204) #2; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
MIRACE-TO500(7200) LAJEAD-TO500(7204) #2; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
MIRACE-TO500(7200) LAJEAD-TO500(7204) #2; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
MIRACE-TO500(7200) LAJEAD-TO500(7204) #2; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
MIRACE-TO500(7200) LAJEAD-TO500(7204) #2; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
SPELAD-PA500(6754) MIRACE-TO500(7200) #1; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
SPELAD-PA500(6754) MIRACE-TO500(7200) #1; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
SPELAD-PA500(6754) MIRACE-TO500(7200) #1; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
SPELAD-PA500(6754) MIRACE-TO500(7200) #1; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.040; 1.050; -0.001; -0.010; 
SPELAD-PA500(6754) MIRACE-TO500(7200) #1; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
SPELAD-PA500(6754) MIRACE-TO500(7200) #1; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
SPELAD-PA500(6754) MIRACE-TO500(7200) #1; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
SPELAD-PA500(6754) MIRACE-TO500(7200) #1; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
SPELAD-PA500(6754) MIRACE-TO500(7200) #1; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
SPELAD-PA500(6754) MIRACE-TO500(7200) #1; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.039; 1.050; -0.000; -0.011; 
SPELAD-PA500(6754) INTEGR-PA500(6560) #1; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
SPELAD-PA500(6754) INTEGR-PA500(6560) #1; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
SPELAD-PA500(6754) INTEGR-PA500(6560) #1; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
SPELAD-PA500(6754) INTEGR-PA500(6560) #1; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; -0.000; -0.009; 
SPELAD-PA500(6754) INTEGR-PA500(6560) #1; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
SPELAD-PA500(6754) INTEGR-PA500(6560) #1; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
SPELAD-PA500(6754) INTEGR-PA500(6560) #1; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
SPELAD-PA500(6754) INTEGR-PA500(6560) #1; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
SPELAD-PA500(6754) INTEGR-PA500(6560) #1; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
SPELAD-PA500(6754) INTEGR-PA500(6560) #1; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GILBUE-PI230(7191) GID-T2-PI000(44037) #2; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
GILBUE-PI230(7191) GID-T2-PI000(44037) #2; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
GILBUE-PI230(7191) GID-T2-PI000(44037) #2; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
GILBUE-PI230(7191) GID-T2-PI000(44037) #2; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; -0.000; -0.009; 
GILBUE-PI230(7191) GID-T2-PI000(44037) #2; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GILBUE-PI230(7191) GID-T2-PI000(44037) #2; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GILBUE-PI230(7191) GID-T2-PI000(44037) #2; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
