 sep=;
Ctg ID; Bus; Bus Name; Area; Zone; VBase (kV); V BC (pu); V Ctg (pu); VInfE (pu); Diff BC V (pu); Viol (pu); 
COLINA-TO500(7300) CO-MI3CAP500(7305) #3; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; 0.000; -0.069; 
COLINA-TO500(7300) CO-MI3CAP500(7305) #3; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
COLINA-TO500(7300) CO-MI3CAP500(7305) #3; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; 0.000; -0.055; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; 0.000; -0.055; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; 0.000; -0.058; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; 0.000; -0.060; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; 0.000; -0.069; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
LAJEAD-TO500(7204) LAJ-T1-TO000(44031) #1; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.004; 0.950; -0.000; -0.054; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; 0.000; -0.055; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.007; 0.950; -0.000; -0.057; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; 0.000; -0.069; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
BARREI-BA500(6360) CELEO--BA500(44596) #1; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; 0.000; -0.055; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.009; 0.950; -0.001; -0.059; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.010; 0.950; -0.003; -0.060; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.010; 0.950; -0.003; -0.060; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.010; 0.950; -0.003; -0.060; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.016; 0.950; 0.008; -0.066; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
BURITI-BA500(6075) GILBU2-PI500(7190) #6; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.003; 0.950; -0.001; -0.053; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.006; 0.950; 0.000; -0.056; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.006; 0.950; -0.002; -0.056; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.001; -0.060; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.011; 0.950; -0.001; -0.061; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.011; 0.950; -0.001; -0.061; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.011; 0.950; -0.001; -0.061; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.020; 0.950; 0.000; -0.070; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
BURITI-BA500(6075) ALTITU-BA500(9478) #1; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; 0.001; -0.055; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.006; 0.950; 0.001; -0.056; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; 0.000; -0.058; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.011; 0.950; 0.000; -0.061; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.001; -0.063; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.001; -0.063; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.001; -0.063; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.020; 0.950; 0.000; -0.070; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.004; 0.950; -0.000; -0.054; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.006; 0.950; -0.002; -0.056; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 7181; B.JESU-PI230; 772; 1; 230.0; 1.000; 0.964; 0.900; -0.036; -0.064; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 7183; B.JESU-PI069; 773; 1; 69.0; 1.003; 0.966; 0.900; -0.036; -0.066; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 5905; VSANGEEOL039; 771; 1; 34.5; 1.005; 0.900; 0.900; -0.105; -0.000; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 8198; LDVENT-PI500; 771; 1; 500.0; 1.037; 0.969; 0.950; -0.068; -0.019; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.006; 0.950; 0.001; -0.056; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.007; 0.950; 0.002; -0.057; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; 0.000; -0.058; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.011; 0.950; 0.000; -0.061; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 8199; LDVENT-PI034; 771; 1; 34.5; 1.008; 0.968; 0.900; -0.040; -0.068; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.004; 0.950; -0.000; -0.054; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.007; 0.950; -0.000; -0.057; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; 0.000; -0.055; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; -0.000; -0.058; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; 0.000; -0.069; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.004; 0.950; -0.001; -0.054; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; 0.000; -0.055; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.007; 0.950; -0.001; -0.057; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; 0.000; -0.069; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.004; 0.950; -0.000; -0.054; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; 0.000; -0.055; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; 0.000; -0.058; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 6743; NOLIND-PI500; 771; 1; 500.0; 1.047; 1.014; 0.950; -0.033; -0.064; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; 0.000; -0.069; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
S.J.PI-PI500(5570) FV_SJP-PI500(8167) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.006; 0.950; 0.002; -0.056; 
S.J.PI-PI500(5570) FV_SJP-PI500(8167) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.006; 0.950; 0.001; -0.056; 
S.J.PI-PI500(5570) FV_SJP-PI500(8167) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; 0.000; -0.058; 
S.J.PI-PI500(5570) FV_SJP-PI500(8167) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.011; 0.950; 0.000; -0.061; 
S.J.PI-PI500(5570) FV_SJP-PI500(8167) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
S.J.PI-PI500(5570) FV_SJP-PI500(8167) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
S.J.PI-PI500(5570) FV_SJP-PI500(8167) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
S.J.PI-PI500(5570) FV_SJP-PI500(8167) #1; 8167; FV_SJP-PI500; 771; 1; 500.0; 1.047; 1.014; 0.950; -0.033; -0.064; 
S.J.PI-PI500(5570) FV_SJP-PI500(8167) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; 0.000; -0.069; 
S.J.PI-PI500(5570) FV_SJP-PI500(8167) #1; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
GID-T1-PI013(44036) GID-T1-PI000(44035) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
GID-T1-PI013(44036) GID-T1-PI000(44035) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; 0.000; -0.055; 
