 sep=;
Ctg ID; Bus; Bus Name; Area; Zone; VBase (kV); V BC (pu); V Ctg (pu); VInfE (pu); Diff BC V (pu); Viol (pu); 
GID-T1-PI013(44036) GID-T1-PI000(44035) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; -0.000; -0.058; 
GID-T1-PI013(44036) GID-T1-PI000(44035) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
GID-T1-PI013(44036) GID-T1-PI000(44035) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GID-T1-PI013(44036) GID-T1-PI000(44035) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GID-T1-PI013(44036) GID-T1-PI000(44035) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GID-T1-PI013(44036) GID-T1-PI000(44035) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
GID-T1-PI013(44036) GID-T1-PI000(44035) #1; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
GID-T1-PI013(44036) GID-T1-PI000(44035) #1; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
LAJEAD-TO500(7204) LAJ-T2-TO000(44033) #2; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; 0.000; -0.055; 
LAJEAD-TO500(7204) LAJ-T2-TO000(44033) #2; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; 0.000; -0.055; 
LAJEAD-TO500(7204) LAJ-T2-TO000(44033) #2; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; 0.000; -0.058; 
LAJEAD-TO500(7204) LAJ-T2-TO000(44033) #2; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; 0.000; -0.060; 
LAJEAD-TO500(7204) LAJ-T2-TO000(44033) #2; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
LAJEAD-TO500(7204) LAJ-T2-TO000(44033) #2; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
LAJEAD-TO500(7204) LAJ-T2-TO000(44033) #2; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
LAJEAD-TO500(7204) LAJ-T2-TO000(44033) #2; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; 0.000; -0.069; 
LAJEAD-TO500(7204) LAJ-T2-TO000(44033) #2; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
LAJEAD-TO500(7204) LAJ-T2-TO000(44033) #2; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
SPELAD-PA500(6754) SPLAT1-PA000(7261) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
SPELAD-PA500(6754) SPLAT1-PA000(7261) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; 0.000; -0.055; 
SPELAD-PA500(6754) SPLAT1-PA000(7261) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; -0.000; -0.058; 
SPELAD-PA500(6754) SPLAT1-PA000(7261) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
SPELAD-PA500(6754) SPLAT1-PA000(7261) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
SPELAD-PA500(6754) SPLAT1-PA000(7261) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
SPELAD-PA500(6754) SPLAT1-PA000(7261) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
SPELAD-PA500(6754) SPLAT1-PA000(7261) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
SPELAD-PA500(6754) SPLAT1-PA000(7261) #1; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
SPELAD-PA500(6754) SPLAT1-PA000(7261) #1; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
MR-GR3CAP500(7209) GR-MI3CAP500(7105) #3; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.002; 0.950; -0.003; -0.052; 
MR-GR3CAP500(7209) GR-MI3CAP500(7105) #3; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.005; 0.950; -0.003; -0.055; 
MR-GR3CAP500(7209) GR-MI3CAP500(7105) #3; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.006; 0.950; 0.000; -0.056; 
MR-GR3CAP500(7209) GR-MI3CAP500(7105) #3; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.001; -0.060; 
MR-GR3CAP500(7209) GR-MI3CAP500(7105) #3; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.001; -0.062; 
MR-GR3CAP500(7209) GR-MI3CAP500(7105) #3; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.001; -0.062; 
MR-GR3CAP500(7209) GR-MI3CAP500(7105) #3; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.001; -0.062; 
MR-GR3CAP500(7209) GR-MI3CAP500(7105) #3; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.020; 0.950; 0.000; -0.070; 
MR-GR3CAP500(7209) GR-MI3CAP500(7105) #3; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
MR-GR3CAP500(7209) GR-MI3CAP500(7105) #3; 5506; TSAT2--PI013; 773; 1; 13.8; 0.974; 0.973; 0.900; -0.001; -0.073; 
S.J.PI-PI500(5570) SJPIT1-PI000(42344) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.004; 0.950; -0.001; -0.054; 
S.J.PI-PI500(5570) SJPIT1-PI000(42344) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.001; -0.055; 
S.J.PI-PI500(5570) SJPIT1-PI000(42344) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; -0.000; -0.058; 
S.J.PI-PI500(5570) SJPIT1-PI000(42344) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
S.J.PI-PI500(5570) SJPIT1-PI000(42344) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
S.J.PI-PI500(5570) SJPIT1-PI000(42344) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
S.J.PI-PI500(5570) SJPIT1-PI000(42344) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
S.J.PI-PI500(5570) SJPIT1-PI000(42344) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
S.J.PI-PI500(5570) SJPIT1-PI000(42344) #1; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
S.J.PI-PI500(5570) SJPIT1-PI000(42344) #1; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
GILBUE-PI230(7191) GID-T1-PI000(44035) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
GILBUE-PI230(7191) GID-T1-PI000(44035) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
GILBUE-PI230(7191) GID-T1-PI000(44035) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; -0.000; -0.058; 
GILBUE-PI230(7191) GID-T1-PI000(44035) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
GILBUE-PI230(7191) GID-T1-PI000(44035) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GILBUE-PI230(7191) GID-T1-PI000(44035) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GILBUE-PI230(7191) GID-T1-PI000(44035) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GILBUE-PI230(7191) GID-T1-PI000(44035) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
GILBUE-PI230(7191) GID-T1-PI000(44035) #1; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
GILBUE-PI230(7191) GID-T1-PI000(44035) #1; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
GILBUE-PI069(7193) GID-T1-PI000(44035) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
GILBUE-PI069(7193) GID-T1-PI000(44035) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
GILBUE-PI069(7193) GID-T1-PI000(44035) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; -0.000; -0.058; 
GILBUE-PI069(7193) GID-T1-PI000(44035) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
GILBUE-PI069(7193) GID-T1-PI000(44035) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GILBUE-PI069(7193) GID-T1-PI000(44035) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GILBUE-PI069(7193) GID-T1-PI000(44035) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GILBUE-PI069(7193) GID-T1-PI000(44035) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
GILBUE-PI069(7193) GID-T1-PI000(44035) #1; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
GILBUE-PI069(7193) GID-T1-PI000(44035) #1; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
GENDO2-BA500(6060) SOLSER-BA500(8714) #3; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.004; 0.950; -0.002; -0.054; 
GENDO2-BA500(6060) SOLSER-BA500(8714) #3; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.004; 0.950; -0.000; -0.054; 
GENDO2-BA500(6060) SOLSER-BA500(8714) #3; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.007; 0.950; -0.001; -0.057; 
GENDO2-BA500(6060) SOLSER-BA500(8714) #3; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
GENDO2-BA500(6060) SOLSER-BA500(8714) #3; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
GENDO2-BA500(6060) SOLSER-BA500(8714) #3; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
GENDO2-BA500(6060) SOLSER-BA500(8714) #3; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
GENDO2-BA500(6060) SOLSER-BA500(8714) #3; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
GENDO2-BA500(6060) SOLSER-BA500(8714) #3; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
GENDO2-BA500(6060) SOLSER-BA500(8714) #3; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
GENDO2-BA500(6060) GOR-T2-BA000(42394) #2; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; 0.000; -0.055; 
GENDO2-BA500(6060) GOR-T2-BA000(42394) #2; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
GENDO2-BA500(6060) GOR-T2-BA000(42394) #2; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; -0.000; -0.058; 
GENDO2-BA500(6060) GOR-T2-BA000(42394) #2; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
GENDO2-BA500(6060) GOR-T2-BA000(42394) #2; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GENDO2-BA500(6060) GOR-T2-BA000(42394) #2; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GENDO2-BA500(6060) GOR-T2-BA000(42394) #2; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GENDO2-BA500(6060) GOR-T2-BA000(42394) #2; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; 0.000; -0.069; 
GENDO2-BA500(6060) GOR-T2-BA000(42394) #2; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
GENDO2-BA500(6060) GOR-T2-BA000(42394) #2; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
MIRACE-TO500(7200) MI-GR2CAP500(7203) #2; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.004; 0.950; -0.001; -0.054; 
MIRACE-TO500(7200) MI-GR2CAP500(7203) #2; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; 0.000; -0.055; 
MIRACE-TO500(7200) MI-GR2CAP500(7203) #2; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.007; 0.950; -0.001; -0.057; 
MIRACE-TO500(7200) MI-GR2CAP500(7203) #2; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
MIRACE-TO500(7200) MI-GR2CAP500(7203) #2; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
MIRACE-TO500(7200) MI-GR2CAP500(7203) #2; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
MIRACE-TO500(7200) MI-GR2CAP500(7203) #2; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
MIRACE-TO500(7200) MI-GR2CAP500(7203) #2; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; 0.000; -0.069; 
MIRACE-TO500(7200) MI-GR2CAP500(7203) #2; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
MIRACE-TO500(7200) MI-GR2CAP500(7203) #2; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
S.J.PI-PI500(5570) SJ-SB2CAP500(5577) #2; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.004; 0.950; -0.000; -0.054; 
S.J.PI-PI500(5570) SJ-SB2CAP500(5577) #2; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.007; 0.950; 0.001; -0.057; 
S.J.PI-PI500(5570) SJ-SB2CAP500(5577) #2; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; 0.000; -0.058; 
S.J.PI-PI500(5570) SJ-SB2CAP500(5577) #2; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.011; 0.950; 0.000; -0.061; 
S.J.PI-PI500(5570) SJ-SB2CAP500(5577) #2; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
S.J.PI-PI500(5570) SJ-SB2CAP500(5577) #2; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
S.J.PI-PI500(5570) SJ-SB2CAP500(5577) #2; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
S.J.PI-PI500(5570) SJ-SB2CAP500(5577) #2; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.020; 0.950; 0.000; -0.070; 
S.J.PI-PI500(5570) SJ-SB2CAP500(5577) #2; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
S.J.PI-PI500(5570) SJ-SB2CAP500(5577) #2; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
SPELAD-PA500(6754) SPLAT2-PA000(7263) #2; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
SPELAD-PA500(6754) SPLAT2-PA000(7263) #2; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; 0.000; -0.055; 
SPELAD-PA500(6754) SPLAT2-PA000(7263) #2; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; -0.000; -0.058; 
SPELAD-PA500(6754) SPLAT2-PA000(7263) #2; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
SPELAD-PA500(6754) SPLAT2-PA000(7263) #2; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
SPELAD-PA500(6754) SPLAT2-PA000(7263) #2; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
SPELAD-PA500(6754) SPLAT2-PA000(7263) #2; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
SPELAD-PA500(6754) SPLAT2-PA000(7263) #2; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
SPELAD-PA500(6754) SPLAT2-PA000(7263) #2; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
SPELAD-PA500(6754) SPLAT2-PA000(7263) #2; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
GID-T2-PI013(44038) GID-T2-PI000(44037) #2; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
GID-T2-PI013(44038) GID-T2-PI000(44037) #2; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; 0.000; -0.055; 
GID-T2-PI013(44038) GID-T2-PI000(44037) #2; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; -0.000; -0.058; 
GID-T2-PI013(44038) GID-T2-PI000(44037) #2; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
GID-T2-PI013(44038) GID-T2-PI000(44037) #2; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GID-T2-PI013(44038) GID-T2-PI000(44037) #2; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GID-T2-PI013(44038) GID-T2-PI000(44037) #2; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GID-T2-PI013(44038) GID-T2-PI000(44037) #2; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
GID-T2-PI013(44038) GID-T2-PI000(44037) #2; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
GID-T2-PI013(44038) GID-T2-PI000(44037) #2; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
GENDO2-BA500(6060) BURITI-BA500(6075) #7; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.003; 0.950; -0.002; -0.053; 
GENDO2-BA500(6060) BURITI-BA500(6075) #7; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.004; 0.950; -0.004; -0.054; 
GENDO2-BA500(6060) BURITI-BA500(6075) #7; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
GENDO2-BA500(6060) BURITI-BA500(6075) #7; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.009; 0.950; -0.002; -0.059; 
GENDO2-BA500(6060) BURITI-BA500(6075) #7; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.009; 0.950; -0.003; -0.059; 
GENDO2-BA500(6060) BURITI-BA500(6075) #7; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.009; 0.950; -0.003; -0.059; 
GENDO2-BA500(6060) BURITI-BA500(6075) #7; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.009; 0.950; -0.003; -0.059; 
GENDO2-BA500(6060) BURITI-BA500(6075) #7; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
GENDO2-BA500(6060) BURITI-BA500(6075) #7; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
GENDO2-BA500(6060) BURITI-BA500(6075) #7; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
MIRACE-TO500(7200) LAJEAD-TO500(7204) #2; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.004; 0.950; -0.000; -0.054; 
MIRACE-TO500(7200) LAJEAD-TO500(7204) #2; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
MIRACE-TO500(7200) LAJEAD-TO500(7204) #2; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.007; 0.950; -0.000; -0.057; 
MIRACE-TO500(7200) LAJEAD-TO500(7204) #2; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
MIRACE-TO500(7200) LAJEAD-TO500(7204) #2; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
MIRACE-TO500(7200) LAJEAD-TO500(7204) #2; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
MIRACE-TO500(7200) LAJEAD-TO500(7204) #2; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
MIRACE-TO500(7200) LAJEAD-TO500(7204) #2; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
MIRACE-TO500(7200) LAJEAD-TO500(7204) #2; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
MIRACE-TO500(7200) LAJEAD-TO500(7204) #2; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
SPELAD-PA500(6754) MIRACE-TO500(7200) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 0.999; 0.950; -0.005; -0.049; 
SPELAD-PA500(6754) MIRACE-TO500(7200) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.004; 0.950; -0.004; -0.054; 
SPELAD-PA500(6754) MIRACE-TO500(7200) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.006; 0.950; 0.001; -0.056; 
SPELAD-PA500(6754) MIRACE-TO500(7200) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.001; -0.060; 
SPELAD-PA500(6754) MIRACE-TO500(7200) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.001; -0.062; 
SPELAD-PA500(6754) MIRACE-TO500(7200) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.001; -0.062; 
SPELAD-PA500(6754) MIRACE-TO500(7200) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.001; -0.062; 
SPELAD-PA500(6754) MIRACE-TO500(7200) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.020; 0.950; 0.000; -0.070; 
SPELAD-PA500(6754) MIRACE-TO500(7200) #1; 5506; TSAT2--PI013; 773; 1; 13.8; 0.974; 0.972; 0.900; -0.002; -0.072; 
SPELAD-PA500(6754) MIRACE-TO500(7200) #1; 5510; B.ESPE-PI500; 771; 1; 500.0; 1.025; 1.023; 0.950; -0.002; -0.073; 
SPELAD-PA500(6754) INTEGR-PA500(6560) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.004; 0.950; -0.001; -0.054; 
SPELAD-PA500(6754) INTEGR-PA500(6560) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; 0.000; -0.055; 
SPELAD-PA500(6754) INTEGR-PA500(6560) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.007; 0.950; -0.001; -0.057; 
SPELAD-PA500(6754) INTEGR-PA500(6560) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
SPELAD-PA500(6754) INTEGR-PA500(6560) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
SPELAD-PA500(6754) INTEGR-PA500(6560) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
SPELAD-PA500(6754) INTEGR-PA500(6560) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
SPELAD-PA500(6754) INTEGR-PA500(6560) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
SPELAD-PA500(6754) INTEGR-PA500(6560) #1; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
SPELAD-PA500(6754) INTEGR-PA500(6560) #1; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
GILBUE-PI230(7191) GID-T2-PI000(44037) #2; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
